Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,38,SDG,Manti Te'o\TeoxMa00,LB,22,2018,0,0,3,20,14,59,0,0,0,0,0,0,0,0,0,0,0,214,2,1.5,Notre Dame,College Stats
2,39,NYJ,Geno Smith\SmitGe00,QB,22,2018,0,0,2,15,15,40,523,906,6182,29,36,147,661,7,1,13,0,2,,,West Virginia,College Stats
2,40,SFO,Tank Carradine\CarrCo00,DE,23,2018,0,0,0,7,7,45,0,0,0,0,0,0,0,0,0,0,0,55,,5.5,Florida St.,College Stats
2,41,BUF,Robert Woods\WoodRo02,WR,21,2018,0,0,6,38,17,85,0,0,0,0,0,25,191,1,345,4451,23,5,,,USC,College Stats
2,42,OAK,Menelik Watson\WatsMe00,T,24,2017,0,0,1,11,9,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
2,43,TAM,Johnthan Banks\BankJo00,DB,23,2017,0,0,2,12,11,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,Mississippi St.,College Stats
2,44,CAR,Kawann Short\ShorKa00,DT,24,2018,0,2,4,39,39,94,0,0,0,0,0,0,0,0,0,0,0,163,,32.5,Purdue,College Stats
2,45,ARI,Kevin Minter\MintKe00,LB,22,2018,0,0,2,24,21,75,0,0,0,0,0,0,0,0,0,0,0,199,,6.0,LSU,College Stats
2,46,BUF,Kiko Alonso\AlonKi00,LB,23,2018,0,0,4,30,9,73,0,0,0,0,0,0,0,0,0,0,0,344,10,3.0,Oregon,College Stats
2,47,DAL,Gavin Escobar\EscoGa00,TE,22,2017,0,0,0,2,2,64,0,0,0,0,0,0,0,0,30,333,8,2,,,San Diego St.,College Stats
2,48,PIT,Le'Veon Bell\BellLe00,RB,21,2017,2,3,4,56,56,62,0,1,0,0,0,1229,5336,35,312,2660,7,3,,,Michigan St.,College Stats
2,49,NYG,Johnathan Hankins\HankJo00,DT,21,2018,0,0,5,33,17,82,0,0,0,0,0,0,0,0,0,0,0,134,,12.0,Ohio St.,College Stats
2,50,CHI,Jonathan Bostic\BostJo00,LB,22,2018,0,0,4,20,6,70,0,0,0,0,0,0,0,0,0,0,0,206,1,5.5,Florida,College Stats
2,51,WAS,David Amerson\AmerDa00,DB,21,2018,0,0,4,21,7,74,0,0,0,0,0,0,0,0,0,0,0,235,9,,North Carolina St.,College Stats
2,52,NWE,Jamie Collins\CollJa00,LB,23,2018,0,1,5,42,28,80,0,0,0,0,0,0,0,0,0,0,0,348,7,17.5,Southern Miss,College Stats
2,53,CIN,Margus Hunt\HuntMa00,DE,26,2018,0,0,1,14,3,75,0,0,0,0,0,0,0,0,0,0,0,55,,7.5,SMU,College Stats
2,54,MIA,Jamar Taylor\TaylJa01,DB,22,2018,0,0,2,14,3,78,0,0,0,0,0,0,0,0,0,0,0,179,3,0.5,Boise St.,College Stats
2,55,SFO,Vance McDonald\McDoVa00,TE,23,2018,0,0,3,12,5,73,0,0,0,0,0,0,0,0,128,1664,12,3,,,Rice,College Stats
2,56,BAL,Arthur Brown\BrowAr00,LB,20,2016,0,0,0,3,2,48,0,0,0,0,0,0,0,0,0,0,0,11,,0.5,Kansas St.,College Stats
